row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub-category,product_name,sales
1,CA-2017-152156,08/11/2017,11/11/2017,SECOND CLASS,CG-12520,CLAIRE GUTE,CONSUMER,UNITED STATES,HENDERSON,KENTUCKY,42420.0,SOUTH,FUR-BO-10001798,FURNITURE,BOOKCASES,BUSH SOMERSET COLLECTION BOOKCASE,261.96
2,CA-2017-152156,08/11/2017,11/11/2017,SECOND CLASS,CG-12520,CLAIRE GUTE,CONSUMER,UNITED STATES,HENDERSON,KENTUCKY,42420.0,SOUTH,FUR-CH-10000454,FURNITURE,CHAIRS,"HON DELUXE FABRIC UPHOLSTERED STACKING CHAIRS, ROUNDED BACK",731.94
3,CA-2017-138688,12/06/2017,16/06/2017,SECOND CLASS,DV-13045,DARRIN VAN HUFF,CORPORATE,UNITED STATES,LOS ANGELES,CALIFORNIA,90036.0,WEST,OFF-LA-10000240,OFFICE SUPPLIES,LABELS,SELF-ADHESIVE ADDRESS LABELS FOR TYPEWRITERS BY UNIVERSAL,14.62
4,US-2016-108966,11/10/2016,18/10/2016,STANDARD CLASS,SO-20335,SEAN O'DONNELL,CONSUMER,UNITED STATES,FORT LAUDERDALE,FLORIDA,33311.0,SOUTH,FUR-TA-10000577,FURNITURE,TABLES,BRETFORD CR4500 SERIES SLIM RECTANGULAR TABLE,957.5775
5,US-2016-108966,11/10/2016,18/10/2016,STANDARD CLASS,SO-20335,SEAN O'DONNELL,CONSUMER,UNITED STATES,FORT LAUDERDALE,FLORIDA,33311.0,SOUTH,OFF-ST-10000760,OFFICE SUPPLIES,STORAGE,ELDON FOLD 'N ROLL CART SYSTEM,22.368
6,CA-2015-115812,09/06/2015,14/06/2015,STANDARD CLASS,BH-11710,BROSINA HOFFMAN,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032.0,WEST,FUR-FU-10001487,FURNITURE,FURNISHINGS,"ELDON EXPRESSIONS WOOD AND PLASTIC DESK ACCESSORIES, CHERRY WOOD",48.86
7,CA-2015-115812,09/06/2015,14/06/2015,STANDARD CLASS,BH-11710,BROSINA HOFFMAN,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032.0,WEST,OFF-AR-10002833,OFFICE SUPPLIES,ART,NEWELL 322,7.28
8,CA-2015-115812,09/06/2015,14/06/2015,STANDARD CLASS,BH-11710,BROSINA HOFFMAN,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032.0,WEST,TEC-PH-10002275,TECHNOLOGY,PHONES,MITEL 5320 IP PHONE VOIP PHONE,907.152
9,CA-2015-115812,09/06/2015,14/06/2015,STANDARD CLASS,BH-11710,BROSINA HOFFMAN,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032.0,WEST,OFF-BI-10003910,OFFICE SUPPLIES,BINDERS,DXL ANGLE-VIEW BINDERS WITH LOCKING RINGS BY SAMSILL,18.504
10,CA-2015-115812,09/06/2015,14/06/2015,STANDARD CLASS,BH-11710,BROSINA HOFFMAN,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032.0,WEST,OFF-AP-10002892,OFFICE SUPPLIES,APPLIANCES,BELKIN F5C206VTEL 6 OUTLET SURGE,114.9
11,CA-2015-115812,09/06/2015,14/06/2015,STANDARD CLASS,BH-11710,BROSINA HOFFMAN,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032.0,WEST,FUR-TA-10001539,FURNITURE,TABLES,CHROMCRAFT RECTANGULAR CONFERENCE TABLES,1706.184
12,CA-2015-115812,09/06/2015,14/06/2015,STANDARD CLASS,BH-11710,BROSINA HOFFMAN,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032.0,WEST,TEC-PH-10002033,TECHNOLOGY,PHONES,KONFTEL 250 CONFERENCEÂ PHONEÂ - CHARCOAL BLACK,911.424
13,CA-2018-114412,15/04/2018,20/04/2018,STANDARD CLASS,AA-10480,ANDREW ALLEN,CONSUMER,UNITED STATES,CONCORD,NORTH CAROLINA,28027.0,SOUTH,OFF-PA-10002365,OFFICE SUPPLIES,PAPER,XEROX 1967,15.552
14,CA-2017-161389,05/12/2017,10/12/2017,STANDARD CLASS,IM-15070,IRENE MADDOX,CONSUMER,UNITED STATES,SEATTLE,WASHINGTON,98103.0,WEST,OFF-BI-10003656,OFFICE SUPPLIES,BINDERS,FELLOWES PB200 PLASTIC COMB BINDING MACHINE,407.976
15,US-2016-118983,22/11/2016,26/11/2016,STANDARD CLASS,HP-14815,HAROLD PAWLAN,HOME OFFICE,UNITED STATES,FORT WORTH,TEXAS,76106.0,CENTRAL,OFF-AP-10002311,OFFICE SUPPLIES,APPLIANCES,"HOLMES REPLACEMENT FILTER FOR HEPA AIR CLEANER, VERY LARGE ROOM, HEPA FILTER",68.81
16,US-2016-118983,22/11/2016,26/11/2016,STANDARD CLASS,HP-14815,HAROLD PAWLAN,HOME OFFICE,UNITED STATES,FORT WORTH,TEXAS,76106.0,CENTRAL,OFF-BI-10000756,OFFICE SUPPLIES,BINDERS,STOREX DURATECH RECYCLED PLASTIC FROSTED BINDERS,2.544
17,CA-2015-105893,11/11/2015,18/11/2015,STANDARD CLASS,PK-19075,PETE KRIZ,CONSUMER,UNITED STATES,MADISON,WISCONSIN,53711.0,CENTRAL,OFF-ST-10004186,OFFICE SUPPLIES,STORAGE,"STUR-D-STOR SHELVING, VERTICAL 5-SHELF: 72""H X 36""W X 18 1/2""D",665.88
18,CA-2015-167164,13/05/2015,15/05/2015,SECOND CLASS,AG-10270,ALEJANDRO GROVE,CONSUMER,UNITED STATES,WEST JORDAN,UTAH,84084.0,WEST,OFF-ST-10000107,OFFICE SUPPLIES,STORAGE,FELLOWES SUPER STOR/DRAWER,55.5
19,CA-2015-143336,27/08/2015,01/09/2015,SECOND CLASS,ZD-21925,ZUSCHUSS DONATELLI,CONSUMER,UNITED STATES,SAN FRANCISCO,CALIFORNIA,94109.0,WEST,OFF-AR-10003056,OFFICE SUPPLIES,ART,NEWELL 341,8.56
20,CA-2015-143336,27/08/2015,01/09/2015,SECOND CLASS,ZD-21925,ZUSCHUSS DONATELLI,CONSUMER,UNITED STATES,SAN FRANCISCO,CALIFORNIA,94109.0,WEST,TEC-PH-10001949,TECHNOLOGY,PHONES,CISCO SPA 501G IP PHONE,213.48
21,CA-2015-143336,27/08/2015,01/09/2015,SECOND CLASS,ZD-21925,ZUSCHUSS DONATELLI,CONSUMER,UNITED STATES,SAN FRANCISCO,CALIFORNIA,94109.0,WEST,OFF-BI-10002215,OFFICE SUPPLIES,BINDERS,"WILSON JONES HANGING VIEW BINDER, WHITE, 1""",22.72
22,CA-2017-137330,09/12/2017,13/12/2017,STANDARD CLASS,KB-16585,KEN BLACK,CORPORATE,UNITED STATES,FREMONT,NEBRASKA,68025.0,CENTRAL,OFF-AR-10000246,OFFICE SUPPLIES,ART,NEWELL 318,19.46
23,CA-2017-137330,09/12/2017,13/12/2017,STANDARD CLASS,KB-16585,KEN BLACK,CORPORATE,UNITED STATES,FREMONT,NEBRASKA,68025.0,CENTRAL,OFF-AP-10001492,OFFICE SUPPLIES,APPLIANCES,"ACCO SIX-OUTLET POWER STRIP, 4' CORD LENGTH",60.34
24,US-2018-156909,16/07/2018,18/07/2018,SECOND CLASS,SF-20065,SANDRA FLANAGAN,CONSUMER,UNITED STATES,PHILADELPHIA,PENNSYLVANIA,19140.0,EAST,FUR-CH-10002774,FURNITURE,CHAIRS,"GLOBAL DELUXE STACKING CHAIR, GRAY",71.372
25,CA-2016-106320,25/09/2016,30/09/2016,STANDARD CLASS,EB-13870,EMILY BURNS,CONSUMER,UNITED STATES,OREM,UTAH,84057.0,WEST,FUR-TA-10000577,FURNITURE,TABLES,BRETFORD CR4500 SERIES SLIM RECTANGULAR TABLE,1044.63
26,CA-2017-121755,16/01/2017,20/01/2017,SECOND CLASS,EH-13945,ERIC HOFFMANN,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90049.0,WEST,OFF-BI-10001634,OFFICE SUPPLIES,BINDERS,WILSON JONES ACTIVE USE BINDERS,11.648
27,CA-2017-121755,16/01/2017,20/01/2017,SECOND CLASS,EH-13945,ERIC HOFFMANN,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90049.0,WEST,TEC-AC-10003027,TECHNOLOGY,ACCESSORIES,IMATIONÂ 8GB MINI TRAVELDRIVE USB 2.0Â FLASH DRIVE,90.57
28,US-2016-150630,17/09/2016,21/09/2016,STANDARD CLASS,TB-21520,TRACY BLUMSTEIN,CONSUMER,UNITED STATES,PHILADELPHIA,PENNSYLVANIA,19140.0,EAST,FUR-BO-10004834,FURNITURE,BOOKCASES,"RIVERSIDE PALAIS ROYAL LAWYERS BOOKCASE, ROYALE CHERRY FINISH",3083.43
29,US-2016-150630,17/09/2016,21/09/2016,STANDARD CLASS,TB-21520,TRACY BLUMSTEIN,CONSUMER,UNITED STATES,PHILADELPHIA,PENNSYLVANIA,19140.0,EAST,OFF-BI-10000474,OFFICE SUPPLIES,BINDERS,AVERY RECYCLED FLEXI-VIEW COVERS FOR BINDING SYSTEMS,9.618
30,US-2016-150630,17/09/2016,21/09/2016,STANDARD CLASS,TB-21520,TRACY BLUMSTEIN,CONSUMER,UNITED STATES,PHILADELPHIA,PENNSYLVANIA,19140.0,EAST,FUR-FU-10004848,FURNITURE,FURNISHINGS,"HOWARD MILLER 13-3/4"" DIAMETER BRUSHED CHROME ROUND WALL CLOCK",124.2
31,US-2016-150630,17/09/2016,21/09/2016,STANDARD CLASS,TB-21520,TRACY BLUMSTEIN,CONSUMER,UNITED STATES,PHILADELPHIA,PENNSYLVANIA,19140.0,EAST,OFF-EN-10001509,OFFICE SUPPLIES,ENVELOPES,POLY STRING TIE ENVELOPES,3.264
32,US-2016-150630,17/09/2016,21/09/2016,STANDARD CLASS,TB-21520,TRACY BLUMSTEIN,CONSUMER,UNITED STATES,PHILADELPHIA,PENNSYLVANIA,19140.0,EAST,OFF-AR-10004042,OFFICE SUPPLIES,ART,"BOSTON MODEL 1800 ELECTRIC PENCIL SHARPENERS, PUTTY/WOODGRAIN",86.304
33,US-2016-150630,17/09/2016,21/09/2016,STANDARD CLASS,TB-21520,TRACY BLUMSTEIN,CONSUMER,UNITED STATES,PHILADELPHIA,PENNSYLVANIA,19140.0,EAST,OFF-BI-10001525,OFFICE SUPPLIES,BINDERS,"ACCO PRESSBOARD COVERS WITH STORAGE HOOKS, 14 7/8"" X 11"", EXECUTIVE RED",6.858
